Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,Category,Product,Quantity,Price,Payment_Mode,Order_Status,City,Total_Amount
500001,00:00.0,43004,Customer_43004,Female,57,Fashion,Headphones,3,25651,Debit Card,Delivered,Pune,76953
500002,08:45.6,22173,Customer_22173,Male,28,Electronics,Shoes,1,32513,Debit Card,Delivered,Bangalore,32513
500003,17:31.2,15193,Customer_15193,Female,63,Sports,Lipstick,1,37657,Debit Card,Cancelled,Hyderabad,37657
500004,26:16.8,42512,Customer_42512,Male,20,Home & Kitchen,T-Shirt,1,9642,UPI,Cancelled,Chennai,9642
500005,35:02.4,17814,Customer_17814,Male,31,Fashion,Mixer,2,41016,UPI,Cancelled,Pune,82032
500006,43:48.0,31441,Customer_31441,Male,37,Beauty,Shoes,2,12943,Net Banking,Delivered,Bangalore,25886
500007,52:33.6,42913,Customer_42913,Female,30,Home & Kitchen,Headphones,3,47328,UPI,Delivered,Bangalore,141984
500008,01:19.2,30610,Customer_30610,Female,48,Fashion,Laptop,2,49482,Credit Card,Delivered,Chennai,98964
500009,10:04.8,17752,Customer_17752,Male,61,Beauty,T-Shirt,3,8360,UPI,Delivered,Mumbai,25080
500010,18:50.4,41229,Customer_41229,Female,62,Sports,Headphones,1,15265,Credit Card,Delivered,Gurgaon,15265
500011,27:36.0,46231,Customer_46231,Male,47,Electronics,Laptop,4,2675,UPI,Cancelled,Mumbai,10700
500012,36:21.6,42026,Customer_42026,Male,60,Home & Kitchen,Laptop,2,44300,UPI,Delivered,Pune,88600
500013,45:07.3,31759,Customer_31759,Male,23,Sports,Shoes,4,24648,Net Banking,Delivered,Pune,98592
500014,53:52.9,45731,Customer_45731,Male,27,Sports,Watch,3,20365,Debit Card,Delivered,Bangalore,61095
500015,02:38.5,18445,Customer_18445,Male,30,Fashion,Watch,4,3915,Net Banking,Returned,Delhi,15660
500016,11:24.1,29947,Customer_29947,Male,61,Fashion,Shoes,2,13570,UPI,Cancelled,Noida,27140
500017,20:09.7,47533,Customer_47533,Female,23,Fashion,Mixer,4,32250,Credit Card,Delivered,Noida,129000
500018,28:55.3,32927,Customer_32927,Female,49,Beauty,T-Shirt,2,20893,Debit Card,Delivered,Pune,41786
500019,37:40.9,37205,Customer_37205,Male,31,Electronics,Laptop,3,61600,Cash on Delivery,Delivered,Delhi,184800
500020,46:26.5,41960,Customer_41960,Female,47,Beauty,T-Shirt,4,14820,UPI,Delivered,Mumbai,59280
500021,55:12.1,34536,Customer_34536,Male,63,Sports,Shoes,4,54633,Net Banking,Delivered,Hyderabad,218532
500022,03:57.7,29434,Customer_29434,Female,49,Fashion,Shoes,1,64920,Net Banking,Delivered,Chennai,64920
500023,12:43.3,27138,Customer_27138,Female,48,Home & Kitchen,Shoes,2,21370,Net Banking,Delivered,Chennai,42740
500024,21:28.9,36104,Customer_36104,Male,44,Home & Kitchen,Lipstick,2,12982,Debit Card,Returned,Bangalore,25964
500025,30:14.5,43879,Customer_43879,Male,39,Electronics,Mixer,4,58028,Debit Card,Delivered,Mumbai,232112
500026,39:00.1,49054,Customer_49054,Male,48,Beauty,Headphones,3,17177,Credit Card,Delivered,Chennai,51531
500027,47:45.7,43800,Customer_43800,Female,55,Beauty,Mobile,4,30269,Net Banking,Delivered,Chennai,121076
500028,56:31.3,47184,Customer_47184,Female,49,Home & Kitchen,Laptop,3,1879,Net Banking,Delivered,Hyderabad,5637
500029,05:16.9,13607,Customer_13607,Female,30,Fashion,Mixer,2,40863,Cash on Delivery,Cancelled,Delhi,81726
500030,14:02.5,12562,Customer_12562,Female,25,Sports,Watch,2,19376,Debit Card,Delivered,Bangalore,38752
